City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
169,hamilton,39.1834,-84.5333,293.64,84,0,2.57,US,1690956279
170,la sarre,48.8002,-79.1996,283.8,64,64,2.4,CA,1690956894
171,pontalina,-17.525,-49.4472,292.09,54,0,1.78,BR,1690957070
172,santa cruz,-17.8,-63.1667,293.85,88,0,2.57,BO,1690956800
173,ilulissat,69.2167,-51.1,279.16,100,100,2.06,GL,1690956485
174,alice springs,-23.7,133.8833,297.9,25,0,6.17,AU,1690956548
175,maple ridge,49.2194,-122.6019,291.94,80,5,0.89,CA,1690956607
176,ohafia-ifigh,5.6146,7.8119,295.57,97,100,1.1,NG,1690957071
177,paita,-5.0892,-81.1144,294.22,83,29,2.97,PE,1690956942
178,tshabong,-26.05,22.45,279.55,35,0,5.42,BW,1690957072
179,kone,-21.0595,164.8658,294.71,58,21,5.25,NC,1690956489
180,port alfred,-33.5906,26.891,286.26,69,9,3.58,ZA,1690956766
181,venado,22.9333,-101.0833,292.24,78,77,4.27,MX,1690957072
182,vetlanda,57.4289,15.0776,288.18,92,72,2.51,SE,1690957072
183,namibe,-15.1961,12.1522,289.93,83,31,1.23,AO,1690956526
184,sinabang,2.4803,96.3801,302.62,65,87,0.92,ID,1690956518
185,susuman,62.7833,148.1667,288.44,47,94,5.46,RU,1690956479
186,luquillo,18.3725,-65.7166,300.94,96,0,0.0,PR,1690956565
187,kuanda,56.3161,116.0806,290.97,79,100,1.46,RU,1690957073
188,hadibu,12.65,54.0333,301.27,67,74,12.68,YE,1690956587
189,anna regina,7.2644,-58.5077,298.25,88,51,1.55,GY,1690957074
190,harper,4.375,-7.7169,297.74,86,100,4.99,LR,1690956742
191,rongelap,11.1635,166.8941,301.83,79,95,7.06,MH,1690956863
192,enterprise,36.0252,-115.2419,300.58,46,100,2.57,US,1690957074
193,chernyshevskiy,63.0128,112.4714,298.13,28,2,1.05,RU,1690956536
194,napier,-39.4833,176.9167,281.08,71,100,4.02,NZ,1690957075
195,puerto colombia,10.9878,-74.9547,300.2,85,70,5.33,CO,1690957075
196,fort st. john,56.2499,-120.8529,283.74,89,67,0.34,CA,1690956529
197,shevchenko,48.5,35.0,299.64,45,8,2.51,UA,1690957075
198,dul'durga,50.6761,113.5931,305.42,25,99,5.0,RU,1690957076
199,pandan,14.0453,124.1694,305.24,63,89,5.16,PH,1690956803
200,yerofey pavlovich,53.9667,121.9667,297.17,26,100,2.81,RU,1690957076
201,songling,31.1933,120.7176,307.33,53,40,4.89,CN,1690957076
202,stanley,54.868,-1.6985,286.55,92,20,4.12,GB,1690956419
203,georgetown,5.4112,100.3354,305.11,74,20,2.06,MY,1690956379
204,vel'sk,61.0701,42.0983,295.94,56,15,0.43,RU,1690957077
205,pemba,-12.974,40.5178,296.66,67,1,8.6,MZ,1690957077
206,saint-joseph,-21.3667,55.6167,298.41,76,15,3.55,RE,1690956767
207,vadso,70.0744,29.7487,287.64,94,75,2.57,NO,1690956523
208,yantzaza,-3.8278,-78.7594,291.27,79,91,0.27,EC,1690957078
209,argo,37.6333,22.7333,301.36,42,0,0.66,GR,1690956786
210,frolovo,49.7713,43.6622,301.14,35,76,2.65,RU,1690957078
211,itaituba,-4.2761,-55.9836,298.8,64,96,0.57,BR,1690956595
212,island harbour,50.724,-1.2758,290.33,92,89,3.13,GB,1690956814
213,ribadesella,43.4614,-5.0596,294.23,82,0,2.23,ES,1690957079
214,isafjordur,66.0755,-23.124,282.63,83,98,1.55,IS,1690957079
215,petropavlovsk-kamchatsky,53.0452,158.6483,291.48,68,0,5.0,RU,1690957080
216,talara,-4.5772,-81.2719,294.07,90,31,4.24,PE,1690957080
217,lubang,13.8584,120.124,301.03,84,99,10.55,PH,1690956788
218,san antonio de pale,-1.4014,5.6325,295.42,74,84,5.07,GQ,1690956558
219,zaozersk,69.4005,32.4476,292.13,76,18,2.54,RU,1690957081
220,bakchar,57.0186,82.0711,300.02,46,18,2.31,RU,1690957081
221,nuku'alofa,-21.1333,-175.2,293.34,94,100,4.12,TO,1690956563
222,mata-utu,-13.2816,-176.1745,301.05,77,34,3.6,WF,1690956852
223,nar'yan-mar,67.6713,53.087,295.4,56,32,4.08,RU,1690956483
224,binzhou,37.3667,118.0167,307.02,55,17,3.82,CN,1690957081
225,sehwan,26.4279,67.863,310.33,42,4,2.83,PK,1690957082
226,belyy yar,53.6039,91.3903,301.09,51,0,2.0,RU,1690956791
227,mohpa,21.3167,78.8167,299.79,78,100,6.62,IN,1690957082
228,fisterra,42.9049,-9.2629,294.68,97,97,6.58,ES,1690957082
229,el nido,11.1858,119.3956,302.79,73,100,8.0,PH,1690957083
230,kill devil hills,36.0307,-75.676,297.58,70,0,4.63,US,1690956530
231,mossel bay,-34.1831,22.146,279.11,60,4,2.97,ZA,1690956584
232,yazihan,38.5947,38.18,303.3,37,0,2.06,TR,1690957083
233,richards bay,-28.783,32.0377,288.33,68,63,1.67,ZA,1690956804
234,meadville,41.6414,-80.1515,287.36,92,39,2.22,US,1690957084
235,medina,24.4686,39.6142,309.39,7,0,3.6,SA,1690956993
236,yarmouth,41.7057,-70.2286,291.47,81,0,4.02,US,1690956506
237,tralee,52.2704,-9.7026,287.29,100,100,1.03,IE,1690956836
238,kralendijk,12.15,-68.2667,301.14,89,0,5.14,BQ,1690957084
239,leava,-14.3,-178.1667,300.1,81,44,2.76,WF,1690957085
240,tual,-5.6667,132.75,299.65,84,26,7.75,ID,1690956841
